Modello,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
Decision Tree,0.7134538663950429,0.032409628736697185,0.5810191722243461,0.048257264447394956,0.6678546470999301,0.04998562858194995,0.6195372590781882,0.03528411249819849,0.780234102026555,0.03284424321994326
Random Forest,0.7681521093285799,0.032636313840037276,0.6593690669470044,0.05428877342280943,0.7089447938504543,0.018893788727597144,0.6820331547614408,0.03242345009232288,0.838424178895877,0.03240454735063199
MLP (Rete Neurale),0.7733469145233851,0.03315456952454086,0.6872501889644747,0.06381919512094829,0.656743535988819,0.03783510511904358,0.6698637153453502,0.03981004899732357,0.8317875611460517,0.03315531567306036
